Nombre,Estilo,País,País Ingles,Alcohol,Color,Amargor,Descripcion,Descripcion ingles,Disponible,Imagen,Artesanal,Tipo,Recomendada,Formato,Precio,formato 2,precio 2,formato 3,precio 3,Sin gluten,Aparece,Barril
Mahou Barrica Original,Märzen Barrica,España 🇪🇸,Spain 🇪🇸,"6,1%",12 EBC,23 IBU,"Envejecida varios meses en barricas nuevas de roble americano. El roble americano le va a aportar los tonos a vainilla y coco. El tostado de la madera le aporta aromas ahumados y tostados. Asimismo, el proceso de envejecimiento hace evolucionar los aromas de la cerveza, apareciendo aromas mas complejos como a fruta madura o frutos secos.",,Sí,https://i.ibb.co/WvHGv12/mahour-barrica-original.png,No,Rubia-Blond,No,33 cl (Botella) - 33 cl (Bottle),"3,60 €",,,,,,SÍ,No
Mahou Maestra ,Doppelock,España 🇪🇸,Spain 🇪🇸,"7,5%",20 EBC,28 IBU,"El sabor único de Maestra lo confiere la destreza en la combinación de las variedades de lúpulos incorporados en dos momentos del proceso cervecero. Al principio de la ebullición los lúpulos amargos aportan un amargor suave y ligero. Al final, los lúpulos aromáticos suman notas cítricas y florales.",,Si,https://i.ibb.co/QHD4k5c/mahou-maestra-doble-l-pulo-33cl-24-ud.png,No,Tostada-Brown,No,33 cl (Botella) - 33 cl (Bottle),"3,50 €",,,,,,SÍ,No
Mahou Session IPA,IPA,España 🇪🇸,Spain 🇪🇸,"4,5%",,40 IBU,,,Sí,https://i.ibb.co/hdTCfxX/mahou-cinco-estrellas-ipa.png,No,IPA-IPA,No,33 cl (Botella) - 33 cl (Bottle),"5,20 €",,,,,,SÍ,No
Malandar O brother,New England IPA,España 🇪🇸,Spain 🇪🇸,"5,8%",,,,,Sí,https://res.cloudinary.com/divmsybfa/image/upload/v1601973990/k1zhyrj8yduj70cpdfjd.png,Sí,IPA-IPA,No,44 cl (Lata) - 44 cl (Canned),"8,30 €",,,,,,SÍ,No
Malandar Teorema,DDH IPA,España 🇪🇸,Spain 🇪🇸,"6,7%",,,,,Sí,https://res.cloudinary.com/divmsybfa/image/upload/v1601974044/env7enxcezoccmcskc1o.png,Sí,IPA-IPA,No,44 cl (Lata) - 44 cl (Canned),"8,30 €",,,,,,SÍ,No
Manila,Hoppy Lager,España 🇪🇸,Spain 🇪🇸,"5,8%",29 EBC,28 IBU,,,Sí,https://i.ibb.co/gwbgSJy/849346-00-1.png,No,Rubia-Blond,No,33 cl (Botella) - 33 cl (Bottle),"4,00 €",,,,,,SÍ,No
Maredsous Bruin 8,Belgian Dubbel,Bélgica 🇧🇪,Belgium 🇧🇪,"8,0%",,24 IBU,,,Sí,https://i.ibb.co/HnGWD0M/maredsous-brune.png,No,Negra-Stout,No,33 cl (Botella) - 33 cl (Bottle),"4,80 €",,,,,,SÍ,No
Martin´s IPA,IPA,Bélgica 🇧🇪,Belgium 🇧🇪,"6,9%",,55 IBU,,,Sí,https://i.ibb.co/VQNDt0G/4292-43382.png,No,IPA-IPA,No,33 cl (Botella) - 33 cl (Bottle),"5,50 €",,,,,,SÍ,No
Modelo Negra,Negra Tipo Munich,México 🇲🇽,Mexico 🇲🇽,"5,3%",,16 IBU,"Negra Modelo, mejor conocida como La crema de la cerveza, es una cerveza tipo Munich con 5.3º de alcohol que ofrece un sabor equilibrado y un delicado aroma a malta oscura, caramelo y lúpulo. Hoy ocupa el primer lugar en ventas entre cervezas oscuras México.",,Sí,https://i.ibb.co/6PpJqBp/modelo-negra.png,No,Negra-Stout,No,33 cl (botella) - 33 cl (Bottle),"4,40 €",,,,,,SÍ,No
Mort Subite Kriek,Fruit Lambic,Bélgica 🇧🇪,Belgium 🇧🇪,"6,0%",,,,,Si,https://res.cloudinary.com/divmsybfa/image/upload/v1601917756/uojqzlopuxgwfz8sff2j.png,No,Afrutada-Fruit flavoured,No,25 cl (botella) - 25 cl (Bottle),"3,90 €",,,,,,SÍ,No
