Nombre,Estilo,País,País Ingles,Alcohol,Color,Amargor,Descripcion,Descripcion ingles,Disponible,Imagen,Artesanal,Tipo,Recomendada,Formato,Precio,formato 2,precio 2,formato 3,precio 3,Sin gluten,Aparece,Barril
Sierra Nevada TROPICAL,Tropical IPA,USA 🇺🇸,USA 🇺🇸,"6,0%",,,"Inspirados por la vida de la isla, creamos una India Pale Ale completamente desconectada del continente. Utilizamos nuestro único torpedo de lúpulo para ofrecer una intensa oleada de sabor a lúpulo y los exuberantes aromas de mango, papaya y maracuyá con cada sorbo. Disfrute de nuestro toque tropical en la IPA americana",,Si,https://res.cloudinary.com/divmsybfa/image/upload/v1626977127/ogwim6gzirhe43hhovw1.png,Sí,IPA-IPA,No,"35,5 cl (botella) - 35,5 cl (Bottle)","6,40 €",,,,,,SÍ,No
Snake Dog,IPA,USA 🇺🇸,USA 🇺🇸,"7,1%",,,,,Sí,https://i.ibb.co/T2rG6BL/snake-dog-1.jpg,Sí,IPA-IPA,No,"35,5 cl (botella) - 35,5 cl (Bottle)","5,20 €",,,,,,SÍ,No
Sol Premium,Lager,México 🇲🇽,Mexico 🇲🇽,"4,5%",,,,,No,https://i.ibb.co/GnRgXhK/169-1699107-sol-cerveja-sol-premium-330ml.png,No,Rubia-Blond,No,33 cl (Botella) - 33 cl (Bottle),"3,60 €",,,,,,No,No
Spaten Bock,Lager Bock,Alemania 🇩🇪,Germany 🇩🇪,"7,8%","7,8 EBC",32 IBU,,,Sí,https://res.cloudinary.com/divmsybfa/image/upload/v1628934230/l5arox28pdrcfuorttsu.png,No,Rubia-Blond,No,(Caña)-(Small),"2,50 €",(Pinta)-(Pint),"4,50 €",(Superpinta)-(Superpint),"9,00 €",,SÍ,Sí
Staropramen,Lager,República Checa 🇨🇿,Czech Republic 🇨🇿,"5,0%",,,"Staropramen, la cerveza nº1 de Praga en el mundo","Jan Kohout and Vilem Pick had a dream to make a perfect beer by using nothing but the best ingredients, and after a few attempts they managed to create something truly special. Using authentic Saaz hops, special sorts of barley and yeast, they created a beer known today as Staropramen.",Sí,https://res.cloudinary.com/divmsybfa/image/upload/v1601917531/vnyku49c6cry2wswb7g1.png,No,Rubia-Blond,No,33 cl (Botella) - 33 cl (Bottle),"3,50 €",,,,,,SÍ,No
Stone Ruination IPA,IPA,USA 🇺🇸,USA 🇺🇸,"7,7%",,100 IBU,,,Sí,https://i.ibb.co/3sK1QKw/ci-stone-ruination-double-ipa-d7715a11f0799a26.png,No,IPA-IPA,No,33 cl (Lata) - 33 cl (Canned),"5,80 €",,,,,,SÍ,No
Straffe Hendrick Quadrupel,Belgian Dark Strong Ale,Bélgica 🇧🇪,Belgium 🇧🇪,"8,0%",,35 IBU,,,Sí,https://i.ibb.co/4JRRYJL/Cervezu-S-cerveza-straffe-hendrik-quadruppel-1579-1-800x800.png,No,Negra-Stout,No,33 cl (Botella) - 33 cl (Bottle),"4,80 €",,,,,,SÍ,No
Talismán,New England IPA,España 🇪🇸,Spain 🇪🇸,"7,6%",,58 IBU,"Prueba la nueva New England DIPA de San Frutos. Intensa, aromática y turbia, una New England IPA con Dry Hopping de Mosaic, Cryo Mosaic y Ekuanot. Con una gran intensidad de aromas tropicales, afrutados y florales.",,Sí,https://res.cloudinary.com/divmsybfa/image/upload/v1617879191/lqw7pn0fqgro5tbovjgk.png,Sí,IPA-IPA,No,44 cl (Lata) - 44 cl (Canned),"8,50 €",,,,,,SÍ,No
Tarántula,Black IPA,España 🇪🇸,Spain 🇪🇸,6.4%,,,,,No,https://res.cloudinary.com/divmsybfa/image/upload/v1601974190/smoh6fqtwej0f9tu99o1.png,Sí,IPA-IPA,No,44 cl (Lata) - 44 cl (Canned),"6,50 €",,,,,,SÍ,No
Tra Tra,Hazy Ipa,España 🇪🇸,Spain 🇪🇸,"7,6%",,,"Una Hazy IPA sabrosa y aromática para beber a litros. De color amarillo turbio, carbonatación media. Con espuma blanca, cuerpo sedoso y amargor seco. 
Con lúpulos Citra, Strata, Idaho7 que la dan un perfil cítrico, notas a fruta fresca y toques pináceos, tropicales y terrosos. Una colaboración con Cierzo Brewing.
",,Si,https://res.cloudinary.com/divmsybfa/image/upload/v1621945059/ame5eoigfx8sg2g2zwln.png,Si,IPA-IPA,No,44 cl (Lata) - 44 cl (Canned),"8,60 €",,,,,,SÍ,No
Tre Fontane (Scala Coeli),Trapense,Italia 🇮🇹,Italy 🇮🇹,"6,7%",,,,,Sí,https://i.ibb.co/zNS5Szb/cerveza-trapense-monjes-de-tre-fontane-scala-coeli-33-cl.jpg,No,Tostada-Brown,No,33 cl (botella) - 33 cl (Bottle),"9,70 €",,,,,,SÍ,No
Tripel Karmeliet,Belgian Tripel,Bélgica 🇧🇪,Belgium 🇧🇪,"8,4%",,16 IBU,,,Sí,https://i.ibb.co/7S9VM7L/cerveza-tripel-karmeliet.png,No,Rubia-Blond,No,33 cl (Botella) - 33 cl (Bottle),"5,40 €",,,,,,SÍ,No
Trooper Fear Of The Dark,English Stout,Reino Unido,United Kingdom,"4,5%",,,"Creado por BRUCE DICKINSON (vocalista de Iron Maiden) y el cervecero de Robinsons Martyn Weeks, FEAR OF THE DARK es la primera ""Staut"" de la familia de cervezas TROOPER y toma su nombre de la icónica canción y álbum de IRON MAIDEN del mismo nombre","Created by BRUCE DICKINSON and Robinsons' Head Brewer Martyn Weeks, FEAR OF THE DARK is the first stout in the TROOPER beer family and takes its name from IRON MAIDEN's iconic song and album of the same name",Sí,https://res.cloudinary.com/divmsybfa/image/upload/v1602591500/s3rhsragmr4l809ru6au.png,Sí,Negra-Stout,No,50 cl (Botella) - 50 cl (Bottle),"10,00 €",,,,,,SÍ,No
Trooper IPA,IPA,Reino Unido,United Kingdom,"4,3%",,,"Trooper IPA está inspirada en las IPAs craft estadounidenses que Bruce (vocalista de Iron Maiden) probó en la Craft Brewers Conference en Denver, en 2019, donde fue un orador invitado. Bruce, había probado tantos estilos diferentes en sus viajes con Iron Maiden que, como gran admirador de las IPAs, se dio cuenta de la importancia del estilo como fenómeno actual y sabía que le quedaba un agujero que tapar en la gama de cervezas TROOPER","This beer, which references the American IPA revolution with its choice of hops, was created by Bruce Dickinson and Robinsons’ Head Brewer Martyn Weeks. A perfect sessionable ale designed to be to enjoyed no matter what time of year.",Sí,https://res.cloudinary.com/divmsybfa/image/upload/v1602591458/jyq4z6fmd2iikhpyjjgz.png,Sí,IPA-IPA,No,50 cl (Botella) - 50 cl (Bottle),"10,00 €",,,,,,SÍ,No
Troubador Magma,Belgian Triple IPA,Bélgica 🇧🇪,Belgium 🇧🇪,"9,0%",,68 IBU,"Como seguro que ya sabéis, según la famosa novela de Alejandro Dumas, los mosqueteros fueron tres, Athos, Portos y Aramis, a los que pronto se unió el joven D'Artagnan para formar un cuarteto inolvidable en la historia de la literatura. Pero los mosqueteros de este relato que nos traemos entre manos, aun siendo cuatro, poco tienen que ver con los protagonistas de este clásico de la literatura. Kristof De Roo, Rikkert Maertens, Stefaan Soetemans y Sven Suys no son franceses sino belgas y nunca han sido prodigiosos de la espada ni del florete, más bien del fermentador y el macerador. Estos cuatro colegas, tras graduarse como ingenieros cerveceros en Gante y comprobar la dificultad que suponía poner en práctica sus propias ideas en cerveceras ya establecidas debido al tradicionalismo de los estilos belgas más clásicos, decidieron montar su propia fábrica. Ya con varias cervezas en el mercado, pronto llegó el momento de lanzar la que se acabaría convirtiendo en el buque insignia de la marca y su referencia más premiada y celebrada hasta la fecha: la Troubadour Magma. Se trata de una cerveza muy especial que aúna lo mejor de dos mundos, el de las American IPA elaboradas con una fase de dry-hopping y el de las Belgian Tripel más clásicas, y que ya en 2010 otorgó a The Musketeers el Trofeo del Consumidor en el prestigioso Zythos Beer Festival ",,Sí,https://res.cloudinary.com/divmsybfa/image/upload/v1620930195/dhi34axuwa98s4wxbiqw.png,No,IPA-IPA,No,33 cl (Botella) - 33 cl (Bottle),"6,00 €",,,,,,SÍ,No
Vainilla Red Velvet,Russian Imperial Stout con frambuesa,España 🇪🇸,Spain 🇪🇸,"8,5%",,15 IBU,"Nueva Russian Imperial Stout de Rapaces Night Hunters, colaboración con GUINEU (Barcelona). Elaborada con 6 variedades de malta, lactosa, lúpulo Galena, vainilla de Madagascar y las mejores frambuesas francesas que le aportan un toque de sabor a frutas del bosque. Color negro con corona de espuma color beige, aromas y sabores a chocolate, vainilla de Madagascar y frambuesa.",,Si,https://res.cloudinary.com/divmsybfa/image/upload/v1615025330/b1tp6t4v5ye0gkk5h0uo.png,Si,Negra-Stout,No,44 cl (Lata) - 44 cl (Canned),"9,40 €",,,,,,SÍ,No
Warsteiner Premium Fresh,Rubia sin alcohol,Alemania 🇩🇪,Germany 🇩🇪,"0,0%",,16 IBU,,,Sí,https://i.ibb.co/9gpw0GF/Fresh-175x703.png,No,Rubia-Blond,No,33 cl (Botella) - 33 cl (Bottle),"2,80 €",,,,,,SÍ,No
Warsteiner Premium Verum,Lager,Alemania 🇩🇪,Germany 🇩🇪,"4,9%","5,8 EBC",27 IBU,"Cerveza elaborada siguiendo estrictamente la ley de pureza alemana promulgada por Guillermo IV de Baviera en 1516, en la que se establecía que la cerveza sólo se podía elaborar con tres ingredientes: cebada malteada, agua y lúpulo.",,Sí,https://i.ibb.co/Z22F18r/72cf6c2b-8b5f-4960-993e-d2c2bcb44f5a.png,No,Rubia-Blond,No,(Caña)-(Small),"2,00 €",(Pinta)-(Pint),"4,00 €",(Superpinta)-(Superpint),"8,00 €",,SÍ,Sí
Weihenstephan Vitus,Weizenbock,Alemania 🇩🇪,Germany 🇩🇪,"7,7%",,17 IBU,,,Sí,https://res.cloudinary.com/divmsybfa/image/upload/v1601750453/vntwplgrrcgvz8s9rxza.png,No,Trigo-White beer,No,50 cl (Botella) - 50 cl (Bottle),"5,10 €",,,,,,SÍ,No
Weihenstephaner 1516 (2016),Kellerbier Vintage,Alemania 🇩🇪,Germany 🇩🇪,"5,6%",30 EBC,25 IBU,"Su maestro cervecero creó, en 2016, una cerveza especial para conmemorar el 500 aniversario de la Ley de Pureza Bávara, la ley alimenticia más antigua del mundo. En 2019, Weihenstephan, recuperó esta receta para quedarse ... PERO...... en Eramus Café disponemos de algunas (pocas) botellas de la primera y única edición, que debidamente conservadas en nuestra bodega ponemos a disposición de nuestros queridos amigos, un auténtico lujo!!! Aprovecha y no te quedes sin probarla!!!!",,Si,https://res.cloudinary.com/divmsybfa/image/upload/v1619008987/shnz0kliytdjinghmmki.png,No,Rubia-Blond,No,33 cl (Botella) - 33 cl (Bottle),"7,50 €",,,,,,SÍ,No
Westmalle Dubbel,Belgian Dubbel,Bélgica 🇧🇪,Belgium 🇧🇪,"7,0%",,24 IBU,,,Sí,https://i.ibb.co/LP4mddj/westmalle-dubbel-33-cl.png,No,Negra-Stout,No,33 cl (Botella) - 33 cl (Bottle),"5,90 €",,,,,,SÍ,No
Wonder Worker,Dipa,España 🇪🇸,Spain 🇪🇸,"8,0%",,,"La nueva y fresquísima Doble IPA en colaboración con Oso Brewing. Turbia, sedosa, de amargor fresco y suave y un aroma desbordante a lúpulos con perfiles cítricos, tropicales, y frutales. Con un Dry Hopping masivo de Galaxy, Citra, Cryo Citra y Cashmere. 
",,Si,https://res.cloudinary.com/divmsybfa/image/upload/v1621944855/consrp9vystrr54jesk7.png,Si,IPA-IPA,No,44 cl (Lata) - 44cl (Canned),"8,60 €",,,,,,SÍ,No
Wooha IPA 2015,Vintage IPA,Escocia 🇬🇧,Scotland 🇬🇧,"6,2%",,,"Wooha brewering company nació en 2014 de la mano de la microbióloga y maestra cervecera Heather McDonald. Se originó en Nairn, tierras altas de Escocia. Todas las cervezas son 100% naturales y ""vegan friendly"" ya que no hacen filtración ni usan aditivos o productos químicos. Las botellas que disponemos (y son muy pocas) son de la añada 2015 y han envejecido en nuestra bodega más de 5 años. Unicamente para cerveceros ""experimentados"". DISFRUTA QUE YA NO HABRÁ MÁS!!!",,Si,https://res.cloudinary.com/divmsybfa/image/upload/v1619007496/n6yjuab0mcbkffeld99n.png,No,IPA-IPA,No,50 cl (Botella) - 50 cl (Bottle),"9,50 €",,,,,,SÍ,No
Zoreak,Farmhouse Ale-Saison,España 🇪🇸,Spain 🇪🇸,"6,5%",,70 IBU,"Muy aromática, intensas notas florales acompañadas de toques tropicales, frutales y especiados. Cuerpo medio y final seco. Elaborada con flores ecológicas de Botanika Gastronomika recogidas en su vivero de Zarautz. Colaboración con Mala Gissona",,Sí,https://res.cloudinary.com/divmsybfa/image/upload/v1628934573/xm59nk8e6imbqgbqdbp3.png,Sí,Rubia-Blond,No,33 cl (Botella) - 33 cl (Bottle),"5,30 €",,,,,,SÍ,No
