Nombre,Nombre ingles,Descripcion,Descripcion ingles,Tipo,Precio,precio 2,Altramuces,Apio,Cacahuete,Crustaceo,Gluten,Huevo,Lacteos,Moluscos,Mostaza,Nueces,Pescado,Sesamo,Soja,Sulfitos,Disponible
Tapa tempura de verduras,Tapa Vegetable Tempura,,,Tapas-Tapas,"4,50€","4,80€",,,,,Si,Si,,,,,,,,,No
Tapa Pitta Beef-Curry (2ud),Mini Pitta Beef.-Curry,,,Tapas-Tapas,"4,50€","4,80€",,,,,Si,,,,Si,,,,,,No
,,,,,,,,,,,,,,,,,,,,,
Spaguetti al Ajillo con Gambas,Spaguetti Seasoned y Garlic With Prawns,,,Pasta & Pizza-Pasta & Pizza,"12,00€","14,00€",,,,Sí,Sí,,Sí,,,,,,,,Sí
Tagliatelli de Sepia y Frutos del Mar,Tagliatelli Nero Seafood,,,Pasta & Pizza-Pasta & Pizza,"12,00€","14,00€",,,,Si,Si,,Si,Si,,,Si,,,,Sí
Lasaña boloñesa,Bolognesa Lasagna,,,Pasta & Pizza-Pasta & Pizza,"12,00€","14,00€",,,,,Si,Si,Si,,,,,,,,Sí
Tortelloni de Ricotta y Verduras,Vegetable and Ricotta Tortelloni,,,Pasta & Pizza-Pasta & Pizza,"12,00€","14,00€",,,,,Si,Si,Si,,,,,,,,Sí
Margarita,Margarita,"Tomate, Mozzarella, Orégano","Tomato, Mozzarella, Oregano",Pasta & Pizza-Pasta & Pizza,"11,50€","13,50€",,,,,Sí,,Sí,,,,,,,,Sí
Prosciutto,Prosciutto,"Tomate, Mozzarella, Jamón","Tomato, Mozzarella, Ham",Pasta & Pizza-Pasta & Pizza,"12,00€","14,00€",,,,,Sí,,Sí,,,,,,,,Sí
Bacon,Bacon,"Tomate, Mozzarella, Bacon","Tomato, Mozzarella, Bacon",Pasta & Pizza-Pasta & Pizza,"12,00€","14,00€",,,,,Sí,,Sí,,,,,,,,Sí
Champiñón,Champiñón,"Tomate, Mozzarella, Champiñón, Maiz","Tomato, Mozzarella, Mushrooms, Swetcorn",Pasta & Pizza-Pasta & Pizza,"12,00€","14,00€",,,,,Sí,,Sí,,,,,,,,Sí
Cabra,Cabra,"Tomate, Mozzarella, Queso de Cabra, Bacon, Pimientos","Tomato, Mozzarella, Goat's Cheese, Bacon, Peppers",Pasta & Pizza-Pasta & Pizza,"12,50€","14,50€",,,,,Sí,,Sí,,,,,,,,Sí
Toro,Toro,"Tomate, Mozzarella, Salami, Bacon, Pepperoni, Tabasco","Tomato, Mozzarella, Salami, Bacon, Pepperoni, Tabasco Hot Sauce",Pasta & Pizza-Pasta & Pizza,"12,50€","14,50€",,,,,Sí,,Sí,,,,,,,,Sí
Hawaiana,Hawaiana,"Tomate, Mozzarella, Jamón, Pollo, Piña","Tomato, Mozzarella, Ham, Chicken, Pineaple",Pasta & Pizza-Pasta & Pizza,"12,60€","14,60€",,,,,Sí,,Sí,,,,,,,,Sí
